word,set,usas_tag,usas_top_level,usas_top_level_name
manufacture,remained,A1.1.1,A,General and Abstract Terms
many,remained,N5+,N,Numbers and Measurement
map,remained,Q1.2,Q,Language and Communication
march,remained,T1.3,T,Time
mark,remained,O4.2-,O,"Substances, Materials, Objects and Equipment"
market,remained,I2.2,I,Money and Commerce in Industry
marriage,remained,S4,S,"Social Actions, States and Processes"
marry,remained,S4,S,"Social Actions, States and Processes"
mass,remained,N5+,N,Numbers and Measurement
master,remained,X9.1+,X,"Psychological Actions, States and Processes"
match,remained,A6.1+,A,General and Abstract Terms
material,remained,O1,O,"Substances, Materials, Objects and Equipment"
matter,remained,X4.1,X,"Psychological Actions, States and Processes"
may,remained,A7+,A,General and Abstract Terms
maybe,remained,A7,A,General and Abstract Terms
meal,remained,F1,F,Food and Farming
mean,remained,S1.2.2+,S,"Social Actions, States and Processes"
meanwhile,remained,T1.1.2,T,Time
measure,remained,N3.1,N,Numbers and Measurement
meat,remained,F1,F,Food and Farming
mechanism,remained,O2,O,"Substances, Materials, Objects and Equipment"
medical,remained,B3,B,The Body and the Individual
medicine,remained,B3,B,The Body and the Individual
meet,remained,S3.1,S,"Social Actions, States and Processes"
member,remained,S5+/S2mf,S,"Social Actions, States and Processes"
membership,remained,S5+c,S,"Social Actions, States and Processes"
memory,remained,X2,X,"Psychological Actions, States and Processes"
mention,remained,Q2.1,Q,Language and Communication
mere,remained,A11.1-,A,General and Abstract Terms
message,remained,Q1.1,Q,Language and Communication
metal,remained,O1.1,O,"Substances, Materials, Objects and Equipment"
middle,remained,N4,N,Numbers and Measurement
might,remained,S1.2.5+,S,"Social Actions, States and Processes"
mile,remained,N3.3,N,Numbers and Measurement
milk,remained,F2,F,Food and Farming
mind,remained,E6+,E,Emotion
mine,remained,I4,I,Money and Commerce in Industry
minister,remained,G1.1/S2mf,G,Government and Public
minute,remained,N3.2-,N,Numbers and Measurement
miss,remained,S2.1f,S,"Social Actions, States and Processes"
mistake,remained,A5.3-,A,General and Abstract Terms
mix,remained,A2.1+,A,General and Abstract Terms
mixture,remained,O1.1,O,"Substances, Materials, Objects and Equipment"
model,remained,A5.4-,A,General and Abstract Terms
moderate,remained,N5-/A2.1,N,Numbers and Measurement
modern,remained,T3-,T,Time
moment,remained,T1.2,T,Time
money,remained,I1,I,Money and Commerce in Industry
month,remained,T1.3,T,Time
moon,remained,X5.2-/E4.1-,X,"Psychological Actions, States and Processes"
moral,remained,G2.2+,G,Government and Public
more,remained,A13.3,A,General and Abstract Terms
moreover,remained,Z5,Z,Names and Grammar
morning,remained,T1.3,T,Time
most,remained,A13.2,A,General and Abstract Terms
mother,remained,S4,S,"Social Actions, States and Processes"
motion,remained,Q1.1,Q,Language and Communication
motor,remained,M3,M,"Movement, Location, Travel and Transport"
mountain,remained,W3,W,World and Environment
mouse,remained,L2mfn,L,Life and Living Things
mouth,remained,B1,B,The Body and the Individual
move,remained,M2,M,"Movement, Location, Travel and Transport"
much,remained,N5+,N,Numbers and Measurement
murder,remained,L1-,L,Life and Living Things
music,remained,K2,K,"Entertainment, Sports and Games"
musician,remained,K2/S2mf,K,"Entertainment, Sports and Games"
must,remained,S6+,S,"Social Actions, States and Processes"
mystery,remained,X2.2-,X,"Psychological Actions, States and Processes"
name,remained,Q2.2,Q,Language and Communication
narrow,remained,N3.7-,N,Numbers and Measurement
nation,remained,G1.1c,G,Government and Public
native,remained,M6/S2mf,M,"Movement, Location, Travel and Transport"
nature,remained,W5,W,World and Environment
near,remained,M1/N3.3-,M,"Movement, Location, Travel and Transport"
necessary,remained,S6+,S,"Social Actions, States and Processes"
neck,remained,S3.2,S,"Social Actions, States and Processes"
need,remained,S6+,S,"Social Actions, States and Processes"
neglect,remained,A1.9,A,General and Abstract Terms
neighbor,remained,M6,M,"Movement, Location, Travel and Transport"
neighborhood,remained,N3.3-/H3c,N,Numbers and Measurement
neither,remained,Z6,Z,Names and Grammar
net,remained,A9+,A,General and Abstract Terms
network,remained,S5+c,S,"Social Actions, States and Processes"
never,remained,T1/Z6,T,Time
new,remained,T3-,T,Time
news,remained,X2.2+/T3-,X,"Psychological Actions, States and Processes"
newspaper,remained,Q4.2,Q,Language and Communication
next,remained,N4,N,Numbers and Measurement
nice,remained,O4.2+,O,"Substances, Materials, Objects and Equipment"
night,remained,T1.3,T,Time
no,remained,Z4,Z,Names and Grammar
nobody,remained,Z8/Z6cmf,Z,Names and Grammar
noise,remained,X3.2,X,"Psychological Actions, States and Processes"
none,remained,Z6/Z8c,Z,Names and Grammar
nor,remained,Z6,Z,Names and Grammar
north,remained,M6,M,"Movement, Location, Travel and Transport"
northern,remained,M6,M,"Movement, Location, Travel and Transport"
nose,remained,B1,B,The Body and the Individual
not,remained,Z6,Z,Names and Grammar
note,remained,Q2.1,Q,Language and Communication
nothing,remained,Z6/Z8,Z,Names and Grammar
notice,remained,X3.4+,X,"Psychological Actions, States and Processes"
noun,remained,Q3,Q,Language and Communication
now,remained,Z4,Z,Names and Grammar
nowadays,remained,T1.1.2,T,Time
nowhere,remained,M6/Z6,M,"Movement, Location, Travel and Transport"
number,remained,N1,N,Numbers and Measurement
numerous,remained,N5+,N,Numbers and Measurement
nurse,remained,B3,B,The Body and the Individual
object,remained,O2,O,"Substances, Materials, Objects and Equipment"
observe,remained,X3.4,X,"Psychological Actions, States and Processes"
occasion,remained,A2.2,A,General and Abstract Terms
ocean,remained,W3/M4,W,World and Environment
of,remained,Z5,Z,Names and Grammar
off,remained,M6,M,"Movement, Location, Travel and Transport"
offense,remained,G2.1-,G,Government and Public
offer,remained,A9-,A,General and Abstract Terms
office,remained,I2.1/H1c,I,Money and Commerce in Industry
officer,remained,G3/S7.1+/S2mf,G,Government and Public
official,remained,G1.1/S2mf,G,Government and Public
often,remained,N6+,N,Numbers and Measurement
oil,remained,A1.1.1,A,General and Abstract Terms
old,remained,T3+,T,Time
on,remained,A5.1+,A,General and Abstract Terms
once,remained,N6-,N,Numbers and Measurement
one,remained,Z8,Z,Names and Grammar
only,remained,A14,A,General and Abstract Terms
onto,remained,Z5,Z,Names and Grammar
open,remained,A10+,A,General and Abstract Terms
operate,remained,A1.1.1,A,General and Abstract Terms
operation,remained,A1.1.1,A,General and Abstract Terms
operator,remained,Q1.3/S2mf,Q,Language and Communication
opinion,remained,X2.1,X,"Psychological Actions, States and Processes"
opportunity,remained,A1.4,A,General and Abstract Terms
oppose,remained,S8-/E2-,S,"Social Actions, States and Processes"
opposite,remained,M6,M,"Movement, Location, Travel and Transport"
opposition,remained,S8-/E2-,S,"Social Actions, States and Processes"
or,remained,Z5,Z,Names and Grammar
orange,remained,F1,F,Food and Farming
order,remained,S7.1+/Q2.2,S,"Social Actions, States and Processes"
ordinary,remained,A6.2+,A,General and Abstract Terms
organize,remained,S7.1+,S,"Social Actions, States and Processes"
origin,remained,T2+,T,Time
other,remained,A6.1-/Z8,A,General and Abstract Terms
otherwise,remained,A6.1-,A,General and Abstract Terms
ought,remained,S6+,S,"Social Actions, States and Processes"
out,remained,M6,M,"Movement, Location, Travel and Transport"
outline,remained,Q2.1,Q,Language and Communication
outside,remained,Z5,Z,Names and Grammar
over,remained,K5.1,K,"Entertainment, Sports and Games"
overcome,remained,X9.2+/S7.3,X,"Psychological Actions, States and Processes"
owe,remained,I1.2,I,Money and Commerce in Industry
own,remained,A9+,A,General and Abstract Terms
ownership,remained,A9+,A,General and Abstract Terms
pack,remained,A1.1.1,A,General and Abstract Terms
package,remained,A1.1.1,A,General and Abstract Terms
page,remained,Q1.3,Q,Language and Communication
pain,remained,B2-,B,The Body and the Individual
paint,remained,C1,C,Arts and Crafts
pair,remained,N5,N,Numbers and Measurement
pale,remained,A11.1-,A,General and Abstract Terms
paper,remained,H5,H,"Architecture, Housing and the Home"
parent,remained,S4mf,S,"Social Actions, States and Processes"
park,remained,M2,M,"Movement, Location, Travel and Transport"
part,remained,N5.1-,N,Numbers and Measurement
particular,remained,A4.2+,A,General and Abstract Terms
partner,remained,S3.1,S,"Social Actions, States and Processes"
party,remained,K1/S1.1.3+c,K,"Entertainment, Sports and Games"
pas,remained,K4,K,"Entertainment, Sports and Games"
passage,remained,H2,H,"Architecture, Housing and the Home"
passenger,remained,M3/S2mf,M,"Movement, Location, Travel and Transport"
past,remained,Z5,Z,Names and Grammar
path,remained,M3,M,"Movement, Location, Travel and Transport"
patient,remained,B2-/S2mf,B,The Body and the Individual
pattern,remained,X4.2,X,"Psychological Actions, States and Processes"
pause,remained,T2-/T1.3,T,Time
pay,remained,I1.1/I3.1,I,Money and Commerce in Industry
peace,remained,E3+,E,Emotion
pen,remained,Q1.2,Q,Language and Communication
people,remained,S2mfc,S,"Social Actions, States and Processes"
per,remained,Z5,Z,Names and Grammar
perfect,remained,A5.1+++,A,General and Abstract Terms
perform,remained,A1.1.1,A,General and Abstract Terms
performance,remained,K4,K,"Entertainment, Sports and Games"
perhaps,remained,A7,A,General and Abstract Terms
permanent,remained,T2+++,T,Time
permission,remained,S7.4+,S,"Social Actions, States and Processes"
permit,remained,S7.4+,S,"Social Actions, States and Processes"
person,remained,S2mfc,S,"Social Actions, States and Processes"
persuade,remained,Q2.2,Q,Language and Communication
photograph,remained,C1,C,Arts and Crafts
pick,remained,X7+,X,"Psychological Actions, States and Processes"
picture,remained,X2.1,X,"Psychological Actions, States and Processes"
piece,remained,N5.1-,N,Numbers and Measurement
pig,remained,L2mf,L,Life and Living Things
pile,remained,N5+,N,Numbers and Measurement
pink,remained,B5,B,The Body and the Individual
pipe,remained,M2,M,"Movement, Location, Travel and Transport"
place,remained,M2,M,"Movement, Location, Travel and Transport"
plain,remained,A13.3,A,General and Abstract Terms
plan,remained,X7+,X,"Psychological Actions, States and Processes"
plant,remained,L3,L,Life and Living Things
plate,remained,O2,O,"Substances, Materials, Objects and Equipment"
play,remained,K1,K,"Entertainment, Sports and Games"
pleasant,remained,O4.2+,O,"Substances, Materials, Objects and Equipment"
please,remained,E4.2+,E,Emotion
pleasure,remained,E4.2+,E,Emotion
plenty,remained,N5++,N,Numbers and Measurement
pocket,remained,B5,B,The Body and the Individual
poem,remained,Q3,Q,Language and Communication
poet,remained,Q4.1/S2mf,Q,Language and Communication
point,remained,A10+,A,General and Abstract Terms
police,remained,G2.1,G,Government and Public
political,remained,G1.2,G,Government and Public
politician,remained,G1.2/S2mf,G,Government and Public
politics,remained,G1.2c,G,Government and Public
pool,remained,S1.1.2+,S,"Social Actions, States and Processes"
poor,remained,I1.1-,I,Money and Commerce in Industry
popular,remained,E2+,E,Emotion
population,remained,S2/N5c,S,"Social Actions, States and Processes"
position,remained,M6,M,"Movement, Location, Travel and Transport"
possess,remained,A9+,A,General and Abstract Terms
possession,remained,A9+,A,General and Abstract Terms
possible,remained,A7+,A,General and Abstract Terms
post,remained,Q1.2,Q,Language and Communication
pot,remained,O2,O,"Substances, Materials, Objects and Equipment"
pound,remained,A1.1.1,A,General and Abstract Terms
pour,remained,A1.1.1/O1.2,A,General and Abstract Terms
poverty,remained,I1.1-,I,Money and Commerce in Industry
power,remained,S7.1+,S,"Social Actions, States and Processes"
practical,remained,Y1/P1,Y,Science and Technology
practice,remained,A1.1.1,A,General and Abstract Terms
praise,remained,S7.2+/Q2.2,S,"Social Actions, States and Processes"
pray,remained,S9/Q2.2,S,"Social Actions, States and Processes"
prefer,remained,E2++,E,Emotion
preference,remained,E2++,E,Emotion
prepare,remained,A1.1.1,A,General and Abstract Terms
presence,remained,M6,M,"Movement, Location, Travel and Transport"
present,remained,A9-,A,General and Abstract Terms
preserve,remained,S8+,S,"Social Actions, States and Processes"
president,remained,G1.1/S7.1+/S2mf,G,Government and Public
press,remained,A1.1.1,A,General and Abstract Terms
pressure,remained,S7.1+,S,"Social Actions, States and Processes"
pretend,remained,A5.4-,A,General and Abstract Terms
pretty,remained,O4.2+,O,"Substances, Materials, Objects and Equipment"
prevent,remained,S8-,S,"Social Actions, States and Processes"
price,remained,I1.3,I,Money and Commerce in Industry
pride,remained,E4.2+,E,Emotion
print,remained,Q1.2,Q,Language and Communication
prison,remained,G2.1/H1,G,Government and Public
private,remained,G3/S2mf,G,Government and Public
prize,remained,X7+,X,"Psychological Actions, States and Processes"
problem,remained,A12-,A,General and Abstract Terms
produce,remained,F1,F,Food and Farming
product,remained,O2,O,"Substances, Materials, Objects and Equipment"
production,remained,A1.1.1,A,General and Abstract Terms
profession,remained,I3.1,I,Money and Commerce in Industry
profit,remained,S8+,S,"Social Actions, States and Processes"
program,remained,Y2,Y,Science and Technology
progress,remained,A5.1+/A2.1,A,General and Abstract Terms
promise,remained,S6+,S,"Social Actions, States and Processes"
prompt,remained,N3.8+,N,Numbers and Measurement
proof,remained,A15+,A,General and Abstract Terms
proper,remained,S9,S,"Social Actions, States and Processes"
property,remained,A9+,A,General and Abstract Terms
proposal,remained,Q2.2,Q,Language and Communication
propose,remained,Q2.2/X7+,Q,Language and Communication
protect,remained,S8+/A15+,S,"Social Actions, States and Processes"
protection,remained,S8+/A15+,S,"Social Actions, States and Processes"
proud,remained,E4.2+/S1.2,E,Emotion
prove,remained,A5.2+,A,General and Abstract Terms
provide,remained,A9-,A,General and Abstract Terms
public,remained,A10+,A,General and Abstract Terms
pull,remained,M2,M,"Movement, Location, Travel and Transport"
pump,remained,M2,M,"Movement, Location, Travel and Transport"
pupil,remained,P1/S2mf,P,Education
pure,remained,A5.4+,A,General and Abstract Terms
purpose,remained,X7+,X,"Psychological Actions, States and Processes"
push,remained,M2,M,"Movement, Location, Travel and Transport"
put,remained,M2,M,"Movement, Location, Travel and Transport"
qualification,remained,P1,P,Education
qualify,remained,A1.2+,A,General and Abstract Terms
quality,remained,A5.1,A,General and Abstract Terms
quantity,remained,N5,N,Numbers and Measurement
quarter,remained,N1,N,Numbers and Measurement
question,remained,Q2.2,Q,Language and Communication
quick,remained,N3.8+,N,Numbers and Measurement
quiet,remained,X3.2-,X,"Psychological Actions, States and Processes"
quite,remained,A13.5,A,General and Abstract Terms
race,remained,S7.3+,S,"Social Actions, States and Processes"
radio,remained,Q1.3,Q,Language and Communication
rail,remained,Q2.2,Q,Language and Communication
rain,remained,W4,W,World and Environment
raise,remained,M2,M,"Movement, Location, Travel and Transport"
rank,remained,A5.1,A,General and Abstract Terms
rapid,remained,W3/M4,W,World and Environment
rare,remained,N6-,N,Numbers and Measurement
rate,remained,A5.1,A,General and Abstract Terms
rather,remained,Z4,Z,Names and Grammar
raw,remained,O4.6-,O,"Substances, Materials, Objects and Equipment"
reach,remained,N3.3,N,Numbers and Measurement
read,remained,Q3,Q,Language and Communication
ready,remained,A1.1.1,A,General and Abstract Terms
real,remained,A5.4+,A,General and Abstract Terms
realize,remained,X2.5+,X,"Psychological Actions, States and Processes"
reason,remained,X2.1,X,"Psychological Actions, States and Processes"
reasonable,remained,S1.2.6+,S,"Social Actions, States and Processes"
receive,remained,A9+,A,General and Abstract Terms
recent,remained,T3-,T,Time
recognition,remained,X2.2+,X,"Psychological Actions, States and Processes"
recognize,remained,X2.2+,X,"Psychological Actions, States and Processes"
recommend,remained,Q2.2,Q,Language and Communication
record,remained,Q1.2,Q,Language and Communication
red,remained,O4.3,O,"Substances, Materials, Objects and Equipment"
reduce,remained,N5-/A2.1,N,Numbers and Measurement
reduction,remained,N5-/A2.1,N,Numbers and Measurement
refer,remained,Q2.2,Q,Language and Communication
reference,remained,Q2.2,Q,Language and Communication
reflect,remained,A10+,A,General and Abstract Terms
reflection,remained,X3.4,X,"Psychological Actions, States and Processes"
refuse,remained,Q2.2/Z6,Q,Language and Communication
regard,remained,X2.1,X,"Psychological Actions, States and Processes"
regret,remained,E4.1-,E,Emotion
regular,remained,N6+/S2mf,N,Numbers and Measurement
relate,remained,A2.2,A,General and Abstract Terms
relation,remained,A2.2,A,General and Abstract Terms
relative,remained,S4mf,S,"Social Actions, States and Processes"
relief,remained,E4.1+,E,Emotion
religion,remained,S9,S,"Social Actions, States and Processes"
remain,remained,T2++,T,Time
remark,remained,Q2.2,Q,Language and Communication
remember,remained,X2.2+,X,"Psychological Actions, States and Processes"
remind,remained,X4.1,X,"Psychological Actions, States and Processes"
rent,remained,I2.2,I,Money and Commerce in Industry
repair,remained,A5.1+/A2.1,A,General and Abstract Terms
repeat,remained,N6+,N,Numbers and Measurement
replace,remained,A2.1+,A,General and Abstract Terms
reply,remained,Q2.2,Q,Language and Communication
report,remained,Q2.2,Q,Language and Communication
represent,remained,Q1.1,Q,Language and Communication
representative,remained,Q2.1/S2mf,Q,Language and Communication
reputation,remained,I3.2,I,Money and Commerce in Industry
request,remained,Q2.2,Q,Language and Communication
rescue,remained,S8+,S,"Social Actions, States and Processes"
reserve,remained,A9+,A,General and Abstract Terms
resign,remained,A9-,A,General and Abstract Terms
resist,remained,S8-,S,"Social Actions, States and Processes"
resistance,remained,S8-,S,"Social Actions, States and Processes"
respect,remained,S7.2+,S,"Social Actions, States and Processes"
responsible,remained,A2.2,A,General and Abstract Terms
rest,remained,E3+,E,Emotion
restaurant,remained,F1/H1,F,Food and Farming
result,remained,A2.2,A,General and Abstract Terms
retire,remained,I3.1-,I,Money and Commerce in Industry
return,remained,M1,M,"Movement, Location, Travel and Transport"
review,remained,X2.4/A5,X,"Psychological Actions, States and Processes"
reward,remained,A5.1+/A2.2,A,General and Abstract Terms
rice,remained,F1,F,Food and Farming
rich,remained,I1.1+,I,Money and Commerce in Industry
rid,remained,A9-,A,General and Abstract Terms
ride,remained,K5.1/L2,K,"Entertainment, Sports and Games"
right,remained,Z4,Z,Names and Grammar
ring,remained,Q1.3,Q,Language and Communication
rise,remained,M1,M,"Movement, Location, Travel and Transport"
risk,remained,A15-,A,General and Abstract Terms
rival,remained,S7.3,S,"Social Actions, States and Processes"
river,remained,W3/M4,W,World and Environment
road,remained,M3,M,"Movement, Location, Travel and Transport"
rock,remained,O2,O,"Substances, Materials, Objects and Equipment"
roll,remained,M1,M,"Movement, Location, Travel and Transport"
roof,remained,H2,H,"Architecture, Housing and the Home"
room,remained,H2,H,"Architecture, Housing and the Home"
root,remained,L3,L,Life and Living Things
rough,remained,M7/K5.1,M,"Movement, Location, Travel and Transport"
round,remained,N5,N,Numbers and Measurement
row,remained,E3-,E,Emotion
royal,remained,S7.1+/S2mf,S,"Social Actions, States and Processes"
ruin,remained,A1.1.2,A,General and Abstract Terms
rule,remained,G2.1,G,Government and Public
run,remained,M1/N3.8+,M,"Movement, Location, Travel and Transport"
rush,remained,N3.8+,N,Numbers and Measurement
sad,remained,E4.1-,E,Emotion
safe,remained,A15+,A,General and Abstract Terms
safety,remained,A15+,A,General and Abstract Terms
sail,remained,M4,M,"Movement, Location, Travel and Transport"
sake,remained,A2.2,A,General and Abstract Terms
salary,remained,I1.1/I3.1,I,Money and Commerce in Industry
sale,remained,I2.2,I,Money and Commerce in Industry
salt,remained,F1,F,Food and Farming
same,remained,A6.1+++,A,General and Abstract Terms
sample,remained,A4.1,A,General and Abstract Terms
sand,remained,O1.1,O,"Substances, Materials, Objects and Equipment"
satisfaction,remained,E4.2+,E,Emotion
satisfy,remained,E4.2+,E,Emotion
save,remained,Z5,Z,Names and Grammar
say,remained,Q2.1,Q,Language and Communication
scale,remained,N3.2,N,Numbers and Measurement
scene,remained,K4,K,"Entertainment, Sports and Games"
school,remained,P1/H1c,P,Education
science,remained,Y1,Y,Science and Technology
scientific,remained,Y1,Y,Science and Technology
scientist,remained,Y1/S2mf,Y,Science and Technology
screen,remained,Y2,Y,Science and Technology
sea,remained,W3/M4,W,World and Environment
search,remained,X2.4,X,"Psychological Actions, States and Processes"
season,remained,F1,F,Food and Farming
seat,remained,M2,M,"Movement, Location, Travel and Transport"
second,remained,S8+,S,"Social Actions, States and Processes"
secret,remained,A10-,A,General and Abstract Terms
secretary,remained,I3.2/S2mf,I,Money and Commerce in Industry
see,remained,X3.4,X,"Psychological Actions, States and Processes"
seed,remained,F4,F,Food and Farming
seem,remained,A8,A,General and Abstract Terms
self,remained,S5-,S,"Social Actions, States and Processes"
sell,remained,I2.2,I,Money and Commerce in Industry
send,remained,M2,M,"Movement, Location, Travel and Transport"
sense,remained,A4.1,A,General and Abstract Terms
sensitive,remained,X2.5+/E1,X,"Psychological Actions, States and Processes"
sentence,remained,G2.1,G,Government and Public
separate,remained,A6.1-,A,General and Abstract Terms
serious,remained,A11.1+,A,General and Abstract Terms
servant,remained,S7.1-/S2mf,S,"Social Actions, States and Processes"
serve,remained,S8+,S,"Social Actions, States and Processes"
service,remained,A1.1.1,A,General and Abstract Terms
set,remained,M2,M,"Movement, Location, Travel and Transport"
settle,remained,H5,H,"Architecture, Housing and the Home"
several,remained,N5,N,Numbers and Measurement
severe,remained,A5.1-,A,General and Abstract Terms
shade,remained,A10-,A,General and Abstract Terms
shadow,remained,O4.3,O,"Substances, Materials, Objects and Equipment"
shake,remained,M2,M,"Movement, Location, Travel and Transport"
shall,remained,T1.1.3,T,Time
shape,remained,O4.4,O,"Substances, Materials, Objects and Equipment"
share,remained,S1.1.2+,S,"Social Actions, States and Processes"
sharp,remained,N3.8+,N,Numbers and Measurement
she,remained,Z8f,Z,Names and Grammar
sheep,remained,L2mfnc,L,Life and Living Things
sheet,remained,B5,B,The Body and the Individual
shelf,remained,H5,H,"Architecture, Housing and the Home"
shell,remained,F1,F,Food and Farming
shelter,remained,H1/A10-,H,"Architecture, Housing and the Home"
shine,remained,W2,W,World and Environment
ship,remained,M2,M,"Movement, Location, Travel and Transport"
shirt,remained,B5,B,The Body and the Individual
shock,remained,E5-,E,Emotion
shoe,remained,B5,B,The Body and the Individual
shoot,remained,G3,G,Government and Public
shop,remained,I2.2/H1c,I,Money and Commerce in Industry
shore,remained,W3/M4,W,World and Environment
short,remained,O3,O,"Substances, Materials, Objects and Equipment"
should,remained,S6+,S,"Social Actions, States and Processes"
shoulder,remained,B1,B,The Body and the Individual
shout,remained,Q2.2/X3.2++,Q,Language and Communication
show,remained,A8,A,General and Abstract Terms
shower,remained,B4,B,The Body and the Individual
shut,remained,A10-,A,General and Abstract Terms
sick,remained,B2-,B,The Body and the Individual
side,remained,S5+,S,"Social Actions, States and Processes"
sight,remained,X3.4,X,"Psychological Actions, States and Processes"
sign,remained,Q1.2,Q,Language and Communication
signal,remained,A11.1+,A,General and Abstract Terms
silence,remained,X3.2-,X,"Psychological Actions, States and Processes"
silent,remained,X3.2-,X,"Psychological Actions, States and Processes"
silver,remained,O1.1,O,"Substances, Materials, Objects and Equipment"
simple,remained,A12+,A,General and Abstract Terms
since,remained,N4,N,Numbers and Measurement
sing,remained,K2,K,"Entertainment, Sports and Games"
single,remained,N5---,N,Numbers and Measurement
sink,remained,B4/H5,B,The Body and the Individual
sir,remained,S7.1+/S2.2m,S,"Social Actions, States and Processes"
sister,remained,S4f,S,"Social Actions, States and Processes"
sit,remained,M8,M,"Movement, Location, Travel and Transport"
situation,remained,A3+,A,General and Abstract Terms
size,remained,N3.2,N,Numbers and Measurement
skill,remained,X9.1+,X,"Psychological Actions, States and Processes"
skin,remained,A1.1.1/L2,A,General and Abstract Terms
skirt,remained,M1,M,"Movement, Location, Travel and Transport"
sky,remained,W1,W,World and Environment
slave,remained,S7.1-/S2mf,S,"Social Actions, States and Processes"
sleep,remained,B1,B,The Body and the Individual
slide,remained,M1,M,"Movement, Location, Travel and Transport"
slight,remained,N5-,N,Numbers and Measurement
slip,remained,M1,M,"Movement, Location, Travel and Transport"
slope,remained,O4.4,O,"Substances, Materials, Objects and Equipment"
slow,remained,N3.8-,N,Numbers and Measurement
small,remained,N3.2-,N,Numbers and Measurement
smell,remained,X3.5,X,"Psychological Actions, States and Processes"
smile,remained,E4.1+,E,Emotion
smoke,remained,F3,F,Food and Farming
smooth,remained,O4.5,O,"Substances, Materials, Objects and Equipment"
snow,remained,W4,W,World and Environment
so,remained,Z5,Z,Names and Grammar
social,remained,S1.1.1,S,"Social Actions, States and Processes"
society,remained,S5+c,S,"Social Actions, States and Processes"
soft,remained,O4.5,O,"Substances, Materials, Objects and Equipment"
soil,remained,O1.1/W3,O,"Substances, Materials, Objects and Equipment"
soldier,remained,A1.1.1,A,General and Abstract Terms
solid,remained,O1.1,O,"Substances, Materials, Objects and Equipment"
solution,remained,X4.2,X,"Psychological Actions, States and Processes"
solve,remained,X9.2+,X,"Psychological Actions, States and Processes"
some,remained,A13.5,A,General and Abstract Terms
somebody,remained,Z8,Z,Names and Grammar
somehow,remained,X4.2,X,"Psychological Actions, States and Processes"
someone,remained,Z8mfc,Z,Names and Grammar
something,remained,Z8,Z,Names and Grammar
sometimes,remained,N6,N,Numbers and Measurement
somewhere,remained,M6,M,"Movement, Location, Travel and Transport"
son,remained,S4m,S,"Social Actions, States and Processes"
song,remained,K2,K,"Entertainment, Sports and Games"
soon,remained,T1.1.3/N3.8+,T,Time
sorry,remained,Z4,Z,Names and Grammar
sort,remained,A4.1,A,General and Abstract Terms
soul,remained,S9,S,"Social Actions, States and Processes"
sound,remained,X3.2,X,"Psychological Actions, States and Processes"
south,remained,M6,M,"Movement, Location, Travel and Transport"
space,remained,N3.6,N,Numbers and Measurement
spare,remained,A9+,A,General and Abstract Terms
speak,remained,Q2.1,Q,Language and Communication
special,remained,A4.2+,A,General and Abstract Terms
speech,remained,Q2.1,Q,Language and Communication
speed,remained,N3.8+,N,Numbers and Measurement
spell,remained,T1.3,T,Time
spend,remained,I1.2,I,Money and Commerce in Industry
spin,remained,M1,M,"Movement, Location, Travel and Transport"
spirit,remained,S9,S,"Social Actions, States and Processes"
split,remained,A6.1-,A,General and Abstract Terms
sport,remained,K5.1,K,"Entertainment, Sports and Games"
spot,remained,A14,A,General and Abstract Terms
spread,remained,F1,F,Food and Farming
spring,remained,M1,M,"Movement, Location, Travel and Transport"
square,remained,O4.4,O,"Substances, Materials, Objects and Equipment"
staff,remained,I3.1/S2mfc,I,Money and Commerce in Industry
stage,remained,T1.2,T,Time
stain,remained,O4.3,O,"Substances, Materials, Objects and Equipment"
stair,remained,H2,H,"Architecture, Housing and the Home"
stamp,remained,Q1.2,Q,Language and Communication
stand,remained,I2.2/H5,I,Money and Commerce in Industry
standard,remained,A5.1,A,General and Abstract Terms
star,remained,Z3c,Z,Names and Grammar
start,remained,T2+,T,Time
state,remained,Q2.1,Q,Language and Communication
station,remained,G3/H4,G,Government and Public
stay,remained,M8,M,"Movement, Location, Travel and Transport"
steady,remained,A2.1-,A,General and Abstract Terms
steel,remained,S1.2.5+,S,"Social Actions, States and Processes"
stem,remained,T2+,T,Time
step,remained,M1,M,"Movement, Location, Travel and Transport"
stick,remained,M2,M,"Movement, Location, Travel and Transport"
still,remained,C1,C,Arts and Crafts
stir,remained,A1.1.1,A,General and Abstract Terms
stock,remained,A6.2+,A,General and Abstract Terms
stomach,remained,B1,B,The Body and the Individual
stone,remained,F1,F,Food and Farming
stop,remained,M3,M,"Movement, Location, Travel and Transport"
store,remained,A9+,A,General and Abstract Terms
storm,remained,E3-,E,Emotion
story,remained,Q2.1,Q,Language and Communication
straight,remained,O4.4,O,"Substances, Materials, Objects and Equipment"
strange,remained,A6.2-,A,General and Abstract Terms
stream,remained,N5+,N,Numbers and Measurement
street,remained,M3/H3,M,"Movement, Location, Travel and Transport"
strength,remained,S1.2.5+,S,"Social Actions, States and Processes"
strengthen,remained,S1.2.5+/A2.1,S,"Social Actions, States and Processes"
stretch,remained,N3.6,N,Numbers and Measurement
strict,remained,S1.2.5+,S,"Social Actions, States and Processes"
strike,remained,I3.1-,I,Money and Commerce in Industry
string,remained,O1.1,O,"Substances, Materials, Objects and Equipment"
strip,remained,O2,O,"Substances, Materials, Objects and Equipment"
stroke,remained,B2-,B,The Body and the Individual
strong,remained,S1.2.5+,S,"Social Actions, States and Processes"
