word,set,concreteness,conc_category
motor,remained,4.84,Very Concrete
mountain,remained,4.96,Very Concrete
mouse,remained,4.83,Very Concrete
mouth,remained,4.74,Very Concrete
move,remained,3.25,Moderate
much,remained,1.69,Very Abstract
murder,remained,3.61,Moderate
music,remained,4.31,Concrete
musician,remained,4.42,Concrete
must,remained,2.13,Abstract
mystery,remained,2.33,Abstract
name,remained,3.50,Moderate
narrow,remained,3.04,Moderate
nation,remained,3.62,Moderate
native,remained,3.03,Moderate
nature,remained,2.92,Abstract
near,remained,2.79,Abstract
necessary,remained,1.80,Very Abstract
neck,remained,5.00,Very Concrete
need,remained,1.69,Very Abstract
neglect,remained,2.26,Abstract
neighbor,remained,4.64,Very Concrete
neighborhood,remained,4.75,Very Concrete
neither,remained,1.64,Very Abstract
net,remained,4.53,Very Concrete
network,remained,3.20,Moderate
never,remained,1.59,Very Abstract
new,remained,2.81,Abstract
news,remained,3.41,Moderate
newspaper,remained,4.82,Very Concrete
next,remained,2.56,Abstract
nice,remained,2.18,Abstract
night,remained,4.52,Very Concrete
no,remained,2.45,Abstract
nobody,remained,2.32,Abstract
noise,remained,3.52,Moderate
none,remained,2.59,Abstract
nor,remained,1.80,Very Abstract
north,remained,4.14,Concrete
northern,remained,3.13,Moderate
nose,remained,4.89,Very Concrete
not,remained,2.08,Abstract
note,remained,4.61,Very Concrete
nothing,remained,2.21,Abstract
notice,remained,3.30,Moderate
noun,remained,3.15,Moderate
now,remained,1.48,Very Abstract
nowadays,remained,1.40,Very Abstract
nowhere,remained,1.79,Very Abstract
number,remained,3.30,Moderate
numerous,remained,2.57,Abstract
nurse,remained,4.39,Concrete
object,remained,3.66,Moderate
observe,remained,2.63,Abstract
occasion,remained,2.52,Abstract
ocean,remained,4.86,Very Concrete
of,remained,1.67,Very Abstract
off,remained,2.79,Abstract
offense,remained,2.03,Abstract
offer,remained,2.23,Abstract
office,remained,4.93,Very Concrete
officer,remained,4.80,Very Concrete
official,remained,2.54,Abstract
often,remained,2.50,Abstract
oil,remained,4.93,Very Concrete
old,remained,2.72,Abstract
on,remained,3.25,Moderate
once,remained,2.74,Abstract
one,remained,3.97,Moderate
only,remained,2.41,Abstract
onto,remained,2.46,Abstract
open,remained,3.21,Moderate
operate,remained,3.00,Abstract
operation,remained,3.44,Moderate
operator,remained,4.21,Concrete
opinion,remained,1.93,Very Abstract
opportunity,remained,1.88,Very Abstract
oppose,remained,2.52,Abstract
opposite,remained,1.79,Very Abstract
opposition,remained,2.25,Abstract
or,remained,1.72,Very Abstract
orange,remained,4.66,Very Concrete
order,remained,2.79,Abstract
ordinary,remained,1.79,Very Abstract
organize,remained,2.72,Abstract
origin,remained,2.03,Abstract
other,remained,2.04,Abstract
otherwise,remained,1.57,Very Abstract
ought,remained,1.43,Very Abstract
out,remained,2.73,Abstract
outline,remained,3.61,Moderate
outside,remained,4.25,Concrete
over,remained,2.46,Abstract
overcome,remained,2.28,Abstract
owe,remained,2.07,Abstract
own,remained,1.96,Very Abstract
ownership,remained,2.42,Abstract
pack,remained,3.83,Moderate
package,remained,4.72,Very Concrete
page,remained,4.90,Very Concrete
pain,remained,3.50,Moderate
paint,remained,4.79,Very Concrete
pair,remained,3.88,Moderate
pale,remained,3.79,Moderate
paper,remained,4.93,Very Concrete
parent,remained,4.56,Very Concrete
park,remained,4.74,Very Concrete
part,remained,3.29,Moderate
particular,remained,2.23,Abstract
partner,remained,3.53,Moderate
party,remained,3.89,Moderate
passage,remained,3.80,Moderate
passenger,remained,4.34,Concrete
past,remained,1.70,Very Abstract
path,remained,4.41,Concrete
patient,remained,2.50,Abstract
pattern,remained,3.92,Moderate
pause,remained,2.38,Abstract
pay,remained,3.54,Moderate
peace,remained,1.62,Very Abstract
pen,remained,4.92,Very Concrete
people,remained,4.82,Very Concrete
per,remained,1.69,Very Abstract
perfect,remained,1.69,Very Abstract
perform,remained,3.07,Moderate
performance,remained,3.04,Moderate
perhaps,remained,1.19,Very Abstract
permanent,remained,2.76,Abstract
permission,remained,2.27,Abstract
permit,remained,3.43,Moderate
person,remained,4.72,Very Concrete
persuade,remained,2.07,Abstract
photograph,remained,4.89,Very Concrete
pick,remained,3.82,Moderate
picture,remained,4.52,Very Concrete
piece,remained,4.14,Concrete
pig,remained,5.00,Very Concrete
pile,remained,4.56,Very Concrete
pink,remained,3.93,Moderate
pipe,remained,4.88,Very Concrete
place,remained,3.48,Moderate
plain,remained,2.26,Abstract
plan,remained,3.40,Moderate
plant,remained,4.76,Very Concrete
plate,remained,4.77,Very Concrete
play,remained,3.24,Moderate
pleasant,remained,1.55,Very Abstract
please,remained,1.64,Very Abstract
pleasure,remained,2.04,Abstract
plenty,remained,2.39,Abstract
pocket,remained,4.68,Very Concrete
poem,remained,4.03,Concrete
poet,remained,4.36,Concrete
point,remained,3.39,Moderate
police,remained,4.79,Very Concrete
political,remained,1.83,Very Abstract
politician,remained,4.33,Concrete
politics,remained,2.66,Abstract
pool,remained,4.77,Very Concrete
poor,remained,2.70,Abstract
popular,remained,2.16,Abstract
population,remained,3.64,Moderate
position,remained,2.62,Abstract
possess,remained,2.60,Abstract
possession,remained,2.96,Abstract
possible,remained,1.56,Very Abstract
post,remained,4.30,Concrete
pot,remained,4.81,Very Concrete
pound,remained,4.61,Very Concrete
pour,remained,4.14,Concrete
poverty,remained,2.54,Abstract
power,remained,2.04,Abstract
practical,remained,2.14,Abstract
practice,remained,2.52,Abstract
praise,remained,2.61,Abstract
pray,remained,3.21,Moderate
prefer,remained,1.62,Very Abstract
preference,remained,2.03,Abstract
prepare,remained,2.36,Abstract
presence,remained,2.72,Abstract
present,remained,3.39,Moderate
preserve,remained,2.57,Abstract
president,remained,4.40,Concrete
press,remained,3.90,Moderate
pressure,remained,3.07,Moderate
pretend,remained,2.11,Abstract
pretty,remained,2.40,Abstract
prevent,remained,2.34,Abstract
price,remained,3.63,Moderate
pride,remained,1.66,Very Abstract
print,remained,4.17,Concrete
prison,remained,4.68,Very Concrete
private,remained,2.72,Abstract
prize,remained,4.45,Concrete
problem,remained,2.68,Abstract
produce,remained,3.31,Moderate
product,remained,4.17,Concrete
production,remained,2.59,Abstract
profession,remained,2.83,Abstract
profit,remained,3.07,Moderate
program,remained,3.43,Moderate
progress,remained,2.12,Abstract
promise,remained,2.09,Abstract
prompt,remained,2.25,Abstract
proof,remained,2.67,Abstract
proper,remained,1.78,Very Abstract
property,remained,3.90,Moderate
proposal,remained,2.75,Abstract
propose,remained,2.19,Abstract
protect,remained,2.86,Abstract
protection,remained,2.50,Abstract
proud,remained,2.07,Abstract
prove,remained,1.83,Very Abstract
provide,remained,2.72,Abstract
public,remained,2.57,Abstract
pull,remained,3.97,Moderate
pump,remained,4.31,Concrete
pupil,remained,4.55,Very Concrete
pure,remained,1.87,Very Abstract
purpose,remained,1.52,Very Abstract
push,remained,4.21,Concrete
put,remained,2.50,Abstract
qualification,remained,2.00,Very Abstract
qualify,remained,1.93,Very Abstract
quality,remained,2.18,Abstract
quantity,remained,2.97,Abstract
quarter,remained,4.43,Concrete
question,remained,3.36,Moderate
quick,remained,2.89,Abstract
quiet,remained,2.76,Abstract
quite,remained,1.72,Very Abstract
race,remained,3.59,Moderate
radio,remained,4.74,Very Concrete
rail,remained,4.90,Very Concrete
rain,remained,4.97,Very Concrete
raise,remained,3.80,Moderate
rank,remained,2.86,Abstract
rapid,remained,3.07,Moderate
rare,remained,1.96,Very Abstract
rate,remained,2.50,Abstract
rather,remained,1.48,Very Abstract
raw,remained,3.35,Moderate
reach,remained,3.70,Moderate
read,remained,3.56,Moderate
ready,remained,2.07,Abstract
real,remained,2.50,Abstract
realize,remained,2.03,Abstract
reason,remained,1.93,Very Abstract
reasonable,remained,1.78,Very Abstract
receive,remained,2.69,Abstract
recent,remained,2.50,Abstract
recognition,remained,2.39,Abstract
recognize,remained,2.07,Abstract
recommend,remained,1.74,Very Abstract
record,remained,4.15,Concrete
red,remained,4.24,Concrete
reduce,remained,2.00,Very Abstract
reduction,remained,2.75,Abstract
refer,remained,2.41,Abstract
reference,remained,2.38,Abstract
reflect,remained,2.81,Abstract
reflection,remained,3.29,Moderate
refuse,remained,3.04,Moderate
regard,remained,1.79,Very Abstract
regret,remained,1.80,Very Abstract
regular,remained,2.40,Abstract
relate,remained,2.00,Very Abstract
relation,remained,2.11,Abstract
relative,remained,2.97,Abstract
relief,remained,2.45,Abstract
religion,remained,1.71,Very Abstract
remain,remained,1.96,Very Abstract
remark,remained,3.25,Moderate
remember,remained,2.41,Abstract
remind,remained,2.19,Abstract
rent,remained,3.48,Moderate
repair,remained,3.32,Moderate
repeat,remained,2.90,Abstract
replace,remained,3.00,Abstract
reply,remained,2.96,Abstract
report,remained,3.92,Moderate
represent,remained,2.12,Abstract
representative,remained,3.39,Moderate
reputation,remained,1.64,Very Abstract
request,remained,2.59,Abstract
rescue,remained,3.17,Moderate
reserve,remained,2.29,Abstract
resign,remained,2.25,Abstract
resist,remained,2.78,Abstract
resistance,remained,2.68,Abstract
respect,remained,2.04,Abstract
responsible,remained,1.69,Very Abstract
rest,remained,3.03,Moderate
restaurant,remained,4.89,Very Concrete
result,remained,2.85,Abstract
retire,remained,3.11,Moderate
return,remained,2.97,Abstract
review,remained,2.81,Abstract
reward,remained,3.41,Moderate
rice,remained,4.86,Very Concrete
rich,remained,2.79,Abstract
rid,remained,2.13,Abstract
ride,remained,3.75,Moderate
right,remained,3.47,Moderate
ring,remained,4.81,Very Concrete
rise,remained,4.04,Concrete
risk,remained,1.63,Very Abstract
rival,remained,3.03,Moderate
river,remained,4.89,Very Concrete
road,remained,4.75,Very Concrete
rock,remained,4.91,Very Concrete
roll,remained,4.16,Concrete
roof,remained,4.79,Very Concrete
room,remained,4.79,Very Concrete
root,remained,4.34,Concrete
rough,remained,3.83,Moderate
round,remained,3.90,Moderate
row,remained,3.93,Moderate
royal,remained,3.14,Moderate
ruin,remained,2.59,Abstract
rule,remained,2.57,Abstract
run,remained,4.31,Concrete
rush,remained,2.90,Abstract
sad,remained,3.07,Moderate
safe,remained,3.41,Moderate
safety,remained,2.37,Abstract
sail,remained,4.59,Very Concrete
sake,remained,2.74,Abstract
salary,remained,3.69,Moderate
sale,remained,3.37,Moderate
salt,remained,4.89,Very Concrete
same,remained,2.64,Abstract
sample,remained,3.79,Moderate
sand,remained,5.00,Very Concrete
satisfaction,remained,1.90,Very Abstract
satisfy,remained,2.04,Abstract
save,remained,2.42,Abstract
say,remained,2.58,Abstract
scale,remained,4.39,Concrete
scene,remained,3.93,Moderate
school,remained,4.79,Very Concrete
science,remained,2.79,Abstract
scientific,remained,2.45,Abstract
scientist,remained,4.24,Concrete
screen,remained,4.60,Very Concrete
sea,remained,4.79,Very Concrete
search,remained,3.00,Abstract
season,remained,3.32,Moderate
seat,remained,4.78,Very Concrete
second,remained,3.30,Moderate
secret,remained,2.19,Abstract
secretary,remained,4.54,Very Concrete
see,remained,3.21,Moderate
seed,remained,4.71,Very Concrete
seem,remained,1.75,Very Abstract
self,remained,3.10,Moderate
sell,remained,3.35,Moderate
send,remained,2.70,Abstract
sense,remained,2.61,Abstract
sensitive,remained,2.21,Abstract
sentence,remained,3.57,Moderate
separate,remained,3.25,Moderate
serious,remained,2.10,Abstract
servant,remained,4.64,Very Concrete
serve,remained,3.78,Moderate
service,remained,2.21,Abstract
set,remained,3.41,Moderate
settle,remained,2.31,Abstract
several,remained,3.00,Abstract
severe,remained,2.43,Abstract
shade,remained,3.38,Moderate
shadow,remained,4.54,Very Concrete
shake,remained,4.07,Concrete
shall,remained,2.33,Abstract
shape,remained,3.14,Moderate
share,remained,2.96,Abstract
sharp,remained,3.86,Moderate
she,remained,3.36,Moderate
sheep,remained,4.90,Very Concrete
sheet,remained,4.93,Very Concrete
shelf,remained,4.96,Very Concrete
shell,remained,4.80,Very Concrete
shelter,remained,4.64,Very Concrete
shine,remained,3.85,Moderate
ship,remained,4.87,Very Concrete
shirt,remained,4.94,Very Concrete
shock,remained,4.00,Moderate
shoe,remained,4.97,Very Concrete
shoot,remained,3.97,Moderate
shop,remained,4.31,Concrete
shore,remained,4.79,Very Concrete
short,remained,3.61,Moderate
should,remained,1.53,Very Abstract
shoulder,remained,4.93,Very Concrete
shout,remained,4.17,Concrete
show,remained,3.97,Moderate
shower,remained,4.89,Very Concrete
shut,remained,3.38,Moderate
sick,remained,2.97,Abstract
side,remained,3.68,Moderate
sight,remained,3.21,Moderate
sign,remained,4.62,Very Concrete
signal,remained,3.86,Moderate
silence,remained,3.33,Moderate
silent,remained,3.67,Moderate
silver,remained,4.52,Very Concrete
simple,remained,1.62,Very Abstract
since,remained,1.38,Very Abstract
sing,remained,4.34,Concrete
single,remained,3.27,Moderate
sink,remained,4.74,Very Concrete
sir,remained,3.10,Moderate
sister,remained,4.00,Moderate
sit,remained,4.80,Very Concrete
situation,remained,2.03,Abstract
size,remained,3.13,Moderate
skill,remained,2.17,Abstract
skin,remained,4.79,Very Concrete
skirt,remained,4.82,Very Concrete
sky,remained,4.45,Concrete
slave,remained,4.38,Concrete
sleep,remained,4.44,Concrete
slide,remained,4.48,Concrete
slight,remained,1.90,Very Abstract
slip,remained,4.10,Concrete
slope,remained,4.07,Concrete
slow,remained,3.28,Moderate
small,remained,3.22,Moderate
smell,remained,3.70,Moderate
smile,remained,4.50,Concrete
smoke,remained,4.96,Very Concrete
smooth,remained,3.81,Moderate
snow,remained,4.85,Very Concrete
so,remained,1.42,Very Abstract
social,remained,2.27,Abstract
society,remained,2.54,Abstract
soft,remained,3.88,Moderate
soil,remained,4.87,Very Concrete
soldier,remained,4.72,Very Concrete
solid,remained,4.42,Concrete
solution,remained,2.61,Abstract
solve,remained,2.10,Abstract
some,remained,2.48,Abstract
somebody,remained,3.79,Moderate
somehow,remained,1.28,Very Abstract
someone,remained,3.71,Moderate
something,remained,1.82,Very Abstract
sometimes,remained,1.77,Very Abstract
somewhere,remained,2.08,Abstract
son,remained,4.14,Concrete
song,remained,4.46,Concrete
soon,remained,1.79,Very Abstract
sorry,remained,1.90,Very Abstract
sort,remained,3.34,Moderate
soul,remained,1.86,Very Abstract
sound,remained,3.70,Moderate
south,remained,3.84,Moderate
space,remained,3.54,Moderate
spare,remained,3.48,Moderate
speak,remained,3.70,Moderate
special,remained,1.76,Very Abstract
speech,remained,3.37,Moderate
speed,remained,3.62,Moderate
spell,remained,3.32,Moderate
spend,remained,2.93,Abstract
spin,remained,3.90,Moderate
spirit,remained,1.60,Very Abstract
split,remained,3.96,Moderate
sport,remained,3.48,Moderate
spot,remained,4.21,Concrete
spread,remained,3.68,Moderate
spring,remained,3.89,Moderate
square,remained,4.33,Concrete
staff,remained,4.36,Concrete
stage,remained,4.64,Very Concrete
stain,remained,4.59,Very Concrete
stair,remained,4.93,Very Concrete
stamp,remained,4.70,Very Concrete
stand,remained,4.16,Concrete
standard,remained,1.83,Very Abstract
star,remained,4.69,Very Concrete
start,remained,2.71,Abstract
state,remained,3.52,Moderate
station,remained,4.32,Concrete
stay,remained,2.15,Abstract
steady,remained,2.25,Abstract
steel,remained,4.87,Very Concrete
stem,remained,4.63,Very Concrete
step,remained,4.54,Very Concrete
stick,remained,4.59,Very Concrete
still,remained,3.46,Moderate
stir,remained,3.76,Moderate
stock,remained,4.19,Concrete
stomach,remained,4.89,Very Concrete
stone,remained,4.72,Very Concrete
stop,remained,3.68,Moderate
store,remained,4.50,Concrete
storm,remained,4.70,Very Concrete
story,remained,3.30,Moderate
straight,remained,2.76,Abstract
strange,remained,1.86,Very Abstract
stream,remained,4.50,Concrete
street,remained,4.75,Very Concrete
strength,remained,2.96,Abstract
strengthen,remained,2.50,Abstract
stretch,remained,3.62,Moderate
strict,remained,2.72,Abstract
strike,remained,4.07,Concrete
string,remained,4.76,Very Concrete
strip,remained,3.75,Moderate
stroke,remained,4.10,Concrete
strong,remained,3.14,Moderate
struggle,remained,2.79,Abstract
student,remained,4.92,Very Concrete
study,remained,3.70,Moderate
stuff,remained,3.13,Moderate
stupid,remained,1.75,Very Abstract
subject,remained,3.14,Moderate
substance,remained,3.44,Moderate
succeed,remained,2.33,Abstract
success,remained,2.21,Abstract
such,remained,1.48,Very Abstract
sudden,remained,2.07,Abstract
suffer,remained,2.28,Abstract
sugar,remained,4.87,Very Concrete
suggest,remained,1.80,Very Abstract
suggestion,remained,2.23,Abstract
suit,remained,4.97,Very Concrete
summer,remained,3.64,Moderate
sun,remained,4.83,Very Concrete
supply,remained,3.43,Moderate
support,remained,2.83,Abstract
suppose,remained,1.37,Very Abstract
sure,remained,1.73,Very Abstract
surface,remained,4.26,Concrete
surprise,remained,3.24,Moderate
surround,remained,2.81,Abstract
suspect,remained,2.59,Abstract
swear,remained,2.45,Abstract
sweep,remained,3.72,Moderate
sweet,remained,4.00,Moderate
swim,remained,4.43,Concrete
swing,remained,4.54,Very Concrete
system,remained,2.94,Abstract
table,remained,4.90,Very Concrete
tail,remained,4.96,Very Concrete
take,remained,3.06,Moderate
talk,remained,4.07,Concrete
tall,remained,3.36,Moderate
tap,remained,4.29,Concrete
taste,remained,4.07,Concrete
tax,remained,3.89,Moderate
taxi,remained,4.93,Very Concrete
tea,remained,4.69,Very Concrete
teach,remained,3.15,Moderate
tear,remained,4.56,Very Concrete
telephone,remained,4.96,Very Concrete
tell,remained,2.90,Abstract
temperature,remained,3.71,Moderate
tend,remained,2.00,Very Abstract
tender,remained,2.58,Abstract
tent,remained,4.96,Very Concrete
term,remained,2.82,Abstract
terrible,remained,2.04,Abstract
test,remained,3.93,Moderate
than,remained,1.69,Very Abstract
thank,remained,3.00,Abstract
that,remained,1.54,Very Abstract
the,remained,1.43,Very Abstract
theater,remained,4.92,Very Concrete
then,remained,1.44,Very Abstract
there,remained,2.20,Abstract
therefore,remained,1.33,Very Abstract
they,remained,2.93,Abstract
thick,remained,4.00,Moderate
thin,remained,3.83,Moderate
thing,remained,3.17,Moderate
think,remained,2.41,Abstract
thirst,remained,3.04,Moderate
this,remained,2.14,Abstract
though,remained,1.20,Very Abstract
threat,remained,2.52,Abstract
threaten,remained,2.63,Abstract
throat,remained,4.97,Very Concrete
through,remained,2.90,Abstract
throw,remained,4.04,Concrete
thus,remained,1.36,Very Abstract
ticket,remained,4.70,Very Concrete
tie,remained,4.81,Very Concrete
tight,remained,3.87,Moderate
till,remained,4.00,Moderate
time,remained,3.07,Moderate
tip,remained,4.50,Concrete
tire,remained,5.00,Very Concrete
title,remained,3.32,Moderate
to,remained,1.55,Very Abstract
today,remained,2.57,Abstract
together,remained,2.74,Abstract
tomorrow,remained,2.04,Abstract
tongue,remained,4.93,Very Concrete
tonight,remained,2.93,Abstract
too,remained,1.70,Very Abstract
tool,remained,4.60,Very Concrete
tooth,remained,4.89,Very Concrete
top,remained,3.93,Moderate
total,remained,2.80,Abstract
touch,remained,3.86,Moderate
tough,remained,2.50,Abstract
tour,remained,3.38,Moderate
toward,remained,2.28,Abstract
tower,remained,4.76,Very Concrete
town,remained,4.64,Very Concrete
toy,remained,4.93,Very Concrete
track,remained,4.31,Concrete
trade,remained,3.08,Moderate
train,remained,4.79,Very Concrete
translate,remained,2.69,Abstract
trap,remained,4.30,Concrete
travel,remained,3.67,Moderate
treat,remained,3.79,Moderate
tree,remained,5.00,Very Concrete
trial,remained,3.07,Moderate
trick,remained,3.36,Moderate
trip,remained,3.71,Moderate
trouble,remained,2.25,Abstract
true,remained,1.70,Very Abstract
trust,remained,2.04,Abstract
truth,remained,1.96,Very Abstract
try,remained,2.22,Abstract
tube,remained,4.82,Very Concrete
tune,remained,3.50,Moderate
turn,remained,3.44,Moderate
twist,remained,3.90,Moderate
type,remained,3.30,Moderate
ugly,remained,3.23,Moderate
uncle,remained,4.24,Concrete
under,remained,3.45,Moderate
understand,remained,2.28,Abstract
union,remained,3.38,Moderate
unit,remained,3.77,Moderate
unite,remained,2.58,Abstract
universal,remained,1.87,Very Abstract
universe,remained,3.85,Moderate
university,remained,4.65,Very Concrete
unless,remained,1.54,Very Abstract
until,remained,1.33,Very Abstract
up,remained,3.83,Moderate
upon,remained,2.83,Abstract
upper,remained,3.37,Moderate
upset,remained,2.41,Abstract
urge,remained,1.93,Very Abstract
use,remained,2.78,Abstract
usual,remained,1.90,Very Abstract
valley,remained,4.72,Very Concrete
valuable,remained,2.22,Abstract
value,remained,1.62,Very Abstract
variety,remained,2.13,Abstract
various,remained,2.35,Abstract
verb,remained,2.85,Abstract
very,remained,1.43,Very Abstract
vessel,remained,4.66,Very Concrete
victory,remained,2.55,Abstract
view,remained,3.21,Moderate
village,remained,4.89,Very Concrete
violence,remained,3.07,Moderate
violent,remained,3.10,Moderate
visit,remained,3.92,Moderate
visitor,remained,4.25,Concrete
voice,remained,4.13,Concrete
vote,remained,3.85,Moderate
wage,remained,3.79,Moderate
wait,remained,2.68,Abstract
wake,remained,3.11,Moderate
walk,remained,4.07,Concrete
wall,remained,4.86,Very Concrete
wander,remained,2.28,Abstract
want,remained,1.93,Very Abstract
war,remained,3.63,Moderate
warm,remained,3.56,Moderate
warn,remained,2.89,Abstract
wash,remained,4.35,Concrete
waste,remained,3.24,Moderate
watch,remained,4.61,Very Concrete
water,remained,5.00,Very Concrete
wave,remained,4.55,Very Concrete
way,remained,2.34,Abstract
we,remained,3.08,Moderate
weak,remained,2.79,Abstract
wealth,remained,2.63,Abstract
weapon,remained,4.76,Very Concrete
wear,remained,3.61,Moderate
weather,remained,3.83,Moderate
week,remained,3.48,Moderate
weekend,remained,3.83,Moderate
weigh,remained,3.79,Moderate
weight,remained,3.94,Moderate
welcome,remained,2.07,Abstract
well,remained,3.33,Moderate
west,remained,3.44,Moderate
western,remained,2.80,Abstract
wet,remained,4.46,Concrete
what,remained,2.00,Very Abstract
whatever,remained,1.46,Very Abstract
wheel,remained,4.86,Very Concrete
when,remained,1.60,Very Abstract
whenever,remained,1.79,Very Abstract
where,remained,1.66,Very Abstract
wherever,remained,1.23,Very Abstract
whether,remained,1.59,Very Abstract
which,remained,1.54,Very Abstract
while,remained,1.55,Very Abstract
whisper,remained,4.34,Concrete
white,remained,3.89,Moderate
who,remained,1.74,Very Abstract
whole,remained,3.25,Moderate
why,remained,1.86,Very Abstract
wide,remained,3.06,Moderate
wife,remained,4.13,Concrete
wild,remained,2.41,Abstract
will,remained,2.64,Abstract
win,remained,2.67,Abstract
wind,remained,3.93,Moderate
window,remained,4.86,Very Concrete
wine,remained,4.79,Very Concrete
wing,remained,4.86,Very Concrete
winter,remained,3.84,Moderate
wipe,remained,4.00,Moderate
wire,remained,4.72,Very Concrete
wise,remained,1.97,Very Abstract
wish,remained,1.77,Very Abstract
with,remained,2.00,Very Abstract
within,remained,2.81,Abstract
without,remained,2.15,Abstract
witness,remained,4.07,Concrete
woman,remained,4.46,Concrete
wonder,remained,1.80,Very Abstract
wood,remained,4.85,Very Concrete
wooden,remained,4.61,Very Concrete
word,remained,3.56,Moderate
work,remained,3.48,Moderate
world,remained,4.36,Concrete
worry,remained,2.55,Abstract
worth,remained,1.89,Very Abstract
would,remained,1.12,Very Abstract
wrap,remained,4.11,Concrete
write,remained,4.22,Concrete
wrong,remained,1.83,Very Abstract
yard,remained,4.82,Very Concrete
year,remained,3.25,Moderate
yellow,remained,4.30,Concrete
yes,remained,2.14,Abstract
yesterday,remained,3.00,Abstract
yet,remained,1.39,Very Abstract
yield,remained,2.93,Abstract
you,remained,4.11,Concrete
young,remained,3.16,Moderate
youth,remained,3.28,Moderate
abandon,added,2.54,Abstract
abortion,added,3.41,Moderate
absolutely,added,1.97,Very Abstract
abstract,added,1.45,Very Abstract
abuse,added,2.71,Abstract
academic,added,2.11,Abstract
acceptable,added,1.93,Very Abstract
access,added,2.71,Abstract
accommodation,added,2.96,Abstract
accompany,added,3.07,Moderate
accomplish,added,2.33,Abstract
accurate,added,1.90,Very Abstract
achieve,added,2.29,Abstract
achievement,added,2.37,Abstract
acknowledge,added,2.03,Abstract
acquire,added,2.93,Abstract
acquisition,added,2.60,Abstract
activity,added,2.72,Abstract
actually,added,1.37,Very Abstract
ad,added,4.46,Concrete
adapt,added,2.41,Abstract
addition,added,2.89,Abstract
additional,added,2.43,Abstract
adequate,added,1.97,Very Abstract
adjust,added,2.93,Abstract
adjustment,added,2.81,Abstract
administration,added,2.78,Abstract
adult,added,4.40,Concrete
advertisement,added,3.77,Moderate
adviser,added,3.67,Moderate
advocate,added,2.72,Abstract
affect,added,1.93,Very Abstract
agenda,added,2.66,Abstract
aggressive,added,2.54,Abstract
agreement,added,2.22,Abstract
agricultural,added,3.29,Moderate
aid,added,3.10,Moderate
aircraft,added,4.40,Concrete
airline,added,4.00,Moderate
alarm,added,4.47,Concrete
album,added,4.69,Very Concrete
alcohol,added,4.76,Very Concrete
allege,added,1.76,Very Abstract
ally,added,2.61,Abstract
alongside,added,2.82,Abstract
alright,added,1.93,Very Abstract
alter,added,3.07,Moderate
alternative,added,2.46,Abstract
amaze,added,2.00,Very Abstract
amendment,added,2.44,Abstract
analysis,added,2.56,Abstract
analyst,added,4.23,Concrete
analyze,added,2.30,Abstract
announce,added,3.31,Moderate
announcement,added,2.79,Abstract
annual,added,1.78,Very Abstract
anticipate,added,1.54,Very Abstract
anymore,added,2.04,Abstract
apartment,added,4.90,Very Concrete
apologize,added,2.63,Abstract
apparent,added,1.73,Very Abstract
apparently,added,1.75,Very Abstract
appeal,added,1.73,Very Abstract
appointment,added,3.00,Abstract
appreciate,added,2.23,Abstract
approach,added,2.74,Abstract
appropriate,added,2.00,Very Abstract
approval,added,2.33,Abstract
approximately,added,2.54,Abstract
architecture,added,3.59,Moderate
area,added,3.72,Moderate
argument,added,2.85,Abstract
arrangement,added,2.30,Abstract
arrival,added,3.07,Moderate
artist,added,4.24,Concrete
assess,added,2.26,Abstract
assessment,added,2.11,Abstract
asset,added,2.92,Abstract
assign,added,2.86,Abstract
assist,added,2.52,Abstract
assistance,added,2.25,Abstract
assistant,added,4.07,Concrete
associate,added,3.41,Moderate
assume,added,1.75,Very Abstract
assumption,added,1.84,Very Abstract
assure,added,2.43,Abstract
athlete,added,4.30,Concrete
atmosphere,added,3.04,Moderate
attach,added,3.33,Moderate
attachment,added,3.04,Moderate
attendance,added,3.07,Moderate
attitude,added,1.97,Very Abstract
attribute,added,2.33,Abstract
author,added,4.26,Concrete
automatically,added,2.03,Abstract
available,added,2.11,Abstract
award,added,4.14,Concrete
aware,added,2.00,Very Abstract
awareness,added,1.84,Very Abstract
awful,added,1.92,Very Abstract
background,added,3.26,Moderate
badly,added,1.93,Very Abstract
ban,added,2.37,Abstract
barely,added,1.71,Very Abstract
barrier,added,4.41,Concrete
basically,added,1.32,Very Abstract
beach,added,4.79,Very Concrete
beautiful,added,2.16,Abstract
beer,added,4.88,Very Concrete
benefit,added,2.25,Abstract
bet,added,3.10,Moderate
bias,added,1.68,Very Abstract
bid,added,2.71,Abstract
bike,added,5.00,Very Concrete
bin,added,4.72,Very Concrete
biological,added,3.11,Moderate
blog,added,3.92,Moderate
bloody,added,4.08,Concrete
bomb,added,4.84,Very Concrete
bond,added,3.62,Moderate
boom,added,3.66,Moderate
boost,added,2.89,Abstract
boot,added,4.96,Very Concrete
bore,added,2.96,Abstract
boss,added,3.83,Moderate
bother,added,2.00,Very Abstract
brand,added,3.29,Moderate
breast,added,4.89,Very Concrete
breed,added,2.85,Abstract
brief,added,2.38,Abstract
briefly,added,1.90,Very Abstract
brilliant,added,2.07,Abstract
budget,added,3.14,Moderate
burden,added,2.63,Abstract
buyer,added,4.36,Concrete
cable,added,4.74,Very Concrete
campaign,added,3.00,Abstract
cancel,added,2.41,Abstract
cancer,added,3.86,Moderate
candidate,added,3.81,Moderate
capability,added,1.93,Very Abstract
capable,added,2.21,Abstract
